column_name,column_type,business_category,test_function,test_type
zip_code,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
revol_bal_joint,int,credit_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency', 'range_check']"
sec_app_earliest_cr_line,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
sec_app_inq_last_6mths,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
sec_app_mort_acc,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
sec_app_open_acc,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
sec_app_revol_util,double,credit_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency', 'range_check']"
sec_app_open_act_il,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
sec_app_num_rev_accts,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
sec_app_chargeoff_within_12_mths,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
sec_app_collections_12_mths_ex_med,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
sec_app_mths_since_last_major_derog,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
hardship_flag,string,special_cases,"['find_duplicate_columns', 'count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'duplicated_files_by_name_and_size', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'custom_validation']"
hardship_type,string,special_cases,"['find_duplicate_columns', 'count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'duplicated_files_by_name_and_size', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'custom_validation']"
hardship_reason,string,special_cases,"['find_duplicate_columns', 'count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'duplicated_files_by_name_and_size', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'custom_validation']"
hardship_status,string,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
deferral_term,string,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
hardship_amount,string,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
hardship_start_date,string,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
hardship_end_date,string,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
payment_plan_start_date,string,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
hardship_length,string,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
hardship_dpd,string,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
hardship_loan_status,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
orig_projected_additional_accrued_interest,string,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
hardship_payoff_balance_amount,string,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
hardship_last_payment_amount,string,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
disbursement_method,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
debt_settlement_flag,string,special_cases,"['find_duplicate_columns', 'count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'duplicated_files_by_name_and_size', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'custom_validation']"
debt_settlement_flag_date,string,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
settlement_status,string,special_cases,"['find_duplicate_columns', 'count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'duplicated_files_by_name_and_size', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'custom_validation']"
settlement_date,string,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
settlement_amount,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
settlement_percentage,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
settlement_term,string,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
all_util,string,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
annual_inc_joint,string,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
application_type,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
avg_cur_bal,string,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
chargeoff_within_12_mths,double,dates,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'validate_numeric_range', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness', 'range_check']"
collections_12_mths_ex_med,string,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
desc,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
dti,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
dti_joint,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
emp_title,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
grade,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
il_util,string,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
inq_fi,string,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
inq_last_12m,string,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
installment,double,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
max_bal_bc,string,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
mo_sin_old_rev_tl_op,int,dates,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'validate_numeric_range', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness', 'range_check']"
mo_sin_rcnt_rev_tl_op,int,payment_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'range_check']"
mo_sin_rcnt_tl,int,payment_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'range_check']"
mths_since_last_major_derog,string,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
mths_since_rcnt_il,string,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
num_accts_ever_120_pd,int,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
num_actv_bc_tl,int,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
num_actv_rev_tl,int,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
num_bc_sats,int,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
num_bc_tl,int,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
num_il_tl,int,payment_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'range_check']"
num_op_rev_tl,int,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
num_rev_accts,int,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
num_rev_tl_bal_gt_0,int,financial_metrics,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency', 'moving_average']","['stability', 'completeness', 'range_check']"
num_sats,int,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
num_tl_120dpd_2m,int,dates,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'validate_numeric_range', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness', 'range_check']"
num_tl_30dpd,int,dates,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'validate_numeric_range', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness', 'range_check']"
num_tl_90g_dpd_24m,int,dates,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'validate_numeric_range', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness', 'range_check']"
num_tl_op_past_12m,int,dates,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'validate_numeric_range', 'file_timeliness', 'check_consistency', 'validate_date_format']","['stability', 'completeness', 'date_format_validation', 'timeliness', 'range_check']"
open_acc_6m,string,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
open_il_12m,string,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
open_il_24m,string,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
open_act_il,string,payment_info,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
open_rv_12m,string,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
open_rv_24m,string,dates,"['validate_date_format', 'count_records', 'validate_values_length', 'check_nulls', 'validate_date_range', 'dtype_consistency', 'file_timeliness', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'date_format_validation', 'timeliness']"
pct_tl_nvr_dlq,double,credit_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency', 'range_check']"
pub_rec_bankruptcies,int,payment_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'range_check']"
purpose,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
tax_liens,int,other,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'basic_validation', 'range_check']"
term,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
title,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
tot_coll_amt,string,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
tot_cur_bal,string,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
tot_hi_cred_lim,int,credit_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency', 'range_check']"
total_bal_il,string,financial_metrics,"['count_records', 'validate_values_length', 'moving_average', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness']"
total_cu_tl,string,other,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'basic_validation']"
total_il_high_credit_limit,int,credit_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency', 'range_check']"
total_rev_hi_lim,string,credit_info,"['count_records', 'validate_values_length', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'credit_score_consistency']"
url,string,other,"['count_records', 'validate_values_length', 'check_nulls', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'basic_validation']"
zip_code,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
revol_bal_joint,int,credit_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency', 'range_check']"
sec_app_earliest_cr_line,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
sec_app_inq_last_6mths,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
sec_app_mort_acc,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
sec_app_open_acc,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
sec_app_revol_util,double,credit_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'credit_score_consistency', 'range_check']"
sec_app_open_act_il,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
sec_app_num_rev_accts,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
sec_app_chargeoff_within_12_mths,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
sec_app_collections_12_mths_ex_med,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
sec_app_mths_since_last_major_derog,int,loan_info,"['validate_sum', 'count_records', 'check_duplicates', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'validate_numeric_range', 'check_consistency']","['stability', 'completeness', 'accuracy', 'range_check']"
disbursement_method,string,loan_info,"['count_records', 'validate_values_length', 'check_nulls', 'check_foreign_key', 'dtype_consistency', 'check_consistency', 'validate_allowed_values']","['stability', 'completeness', 'accuracy']"
